NAMESPACE                     LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
kube-system                   56m         Warning   DNSConfigForming    pod/coredns-7d764666f9-gj2fg                     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   52m         Warning   DNSConfigForming    pod/cilium-87qxf                                 Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   52m         Normal    Killing             pod/cilium-87qxf                                 Stopping container cilium-agent
kube-system                   52m         Normal    SuccessfulDelete    daemonset/cilium                                 Deleted pod: cilium-87qxf
kube-system                   52m         Normal    Scheduled           pod/cilium-j5jwg                                 Successfully assigned kube-system/cilium-j5jwg to zkd01.fyre.ibm.com
kube-system                   52m         Normal    SuccessfulCreate    daemonset/cilium                                 Created pod: cilium-j5jwg
kube-system                   52m         Normal    Started             pod/cilium-j5jwg                                 Container started
kube-system                   52m         Normal    Created             pod/cilium-j5jwg                                 Container created
kube-system                   52m         Normal    Pulled              pod/cilium-j5jwg                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix-20260221T162748Z" already present on machine and can be accessed by the pod
kube-system                   52m         Normal    Started             pod/cilium-j5jwg                                 Container started
kube-system                   52m         Normal    Created             pod/cilium-j5jwg                                 Container created
kube-system                   52m         Normal    Pulled              pod/cilium-j5jwg                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix-20260221T162748Z" already present on machine and can be accessed by the pod
kube-system                   52m         Normal    Pulled              pod/cilium-j5jwg                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix-20260221T162748Z" already present on machine and can be accessed by the pod
kube-system                   52m         Normal    Created             pod/cilium-j5jwg                                 Container created
kube-system                   52m         Normal    Started             pod/cilium-j5jwg                                 Container started
kube-system                   52m         Normal    Pulled              pod/cilium-j5jwg                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix-20260221T162748Z" already present on machine and can be accessed by the pod
kube-system                   52m         Normal    Created             pod/cilium-j5jwg                                 Container created
kube-system                   52m         Normal    Pulled              pod/cilium-j5jwg                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix-20260221T162748Z" already present on machine and can be accessed by the pod
kube-system                   52m         Normal    Started             pod/cilium-j5jwg                                 Container started
kube-system                   52m         Normal    Created             pod/cilium-j5jwg                                 Container created
kube-system                   52m         Normal    Pulled              pod/cilium-j5jwg                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix-20260221T162748Z" already present on machine and can be accessed by the pod
kube-system                   52m         Normal    Started             pod/cilium-j5jwg                                 Container started
kube-system                   52m         Normal    Created             pod/cilium-j5jwg                                 Container created
kube-system                   52m         Normal    Started             pod/cilium-j5jwg                                 Container started
kube-system                   52m         Normal    Created             pod/cilium-j5jwg                                 Container created
kube-system                   52m         Normal    Started             pod/cilium-j5jwg                                 Container started
kube-system                   51m         Warning   BackOff             pod/cilium-j5jwg                                 Back-off restarting failed container cilium-agent in pod cilium-j5jwg_kube-system(ec627550-c62d-48c7-9207-56ddc0184665)
kube-system                   45m         Normal    Pulled              pod/cilium-j5jwg                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix-20260221T162748Z" already present on machine and can be accessed by the pod
