NAMESPACE     LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
kube-system   60m         Warning   BackOff             pod/cilium-j5jwg                                 Back-off restarting failed container cilium-agent in pod cilium-j5jwg_kube-system(ec627550-c62d-48c7-9207-56ddc0184665)
kube-system   54m         Normal    Pulled              pod/cilium-j5jwg                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix-20260221T162748Z" already present on machine and can be accessed by the pod
kube-system   50m         Warning   DNSConfigForming    pod/cilium-j5jwg                                 Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   50m         Warning   Unhealthy           pod/coredns-7d764666f9-hsmgg                     Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system   50m         Warning   Unhealthy           pod/coredns-7d764666f9-gj2fg                     Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system   50m         Normal    SuccessfulDelete    daemonset/cilium                                 Deleted pod: cilium-j5jwg
kube-system   50m         Normal    SuccessfulCreate    daemonset/cilium                                 Created pod: cilium-4s2k4
kube-system   50m         Normal    Scheduled           pod/cilium-4s2k4                                 Successfully assigned kube-system/cilium-4s2k4 to zkd01.fyre.ibm.com
kube-system   50m         Normal    Pulled              pod/cilium-4s2k4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   50m         Normal    Created             pod/cilium-4s2k4                                 Container created
kube-system   50m         Normal    Started             pod/cilium-4s2k4                                 Container started
kube-system   50m         Normal    Pulled              pod/cilium-4s2k4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   50m         Normal    Started             pod/cilium-4s2k4                                 Container started
kube-system   50m         Normal    Created             pod/cilium-4s2k4                                 Container created
kube-system   50m         Normal    Started             pod/cilium-4s2k4                                 Container started
kube-system   50m         Normal    Created             pod/cilium-4s2k4                                 Container created
kube-system   50m         Normal    Pulled              pod/cilium-4s2k4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   50m         Normal    Created             pod/cilium-4s2k4                                 Container created
kube-system   50m         Normal    Started             pod/cilium-4s2k4                                 Container started
kube-system   50m         Normal    Pulled              pod/cilium-4s2k4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   50m         Normal    Pulled              pod/cilium-4s2k4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   50m         Normal    Started             pod/cilium-4s2k4                                 Container started
kube-system   50m         Normal    Created             pod/cilium-4s2k4                                 Container created
kube-system   50m         Normal    Started             pod/cilium-4s2k4                                 Container started
kube-system   50m         Normal    Created             pod/cilium-4s2k4                                 Container created
kube-system   50m         Normal    Pulled              pod/cilium-4s2k4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   50m         Normal    Created             pod/cilium-4s2k4                                 Container created
kube-system   50m         Normal    Started             pod/cilium-4s2k4                                 Container started
kube-system   50m         Normal    Pulled              pod/cilium-4s2k4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   49m         Normal    SuccessfulCreate    replicaset/coredns-5bf8685f84                    Created pod: coredns-5bf8685f84-v2t8x
kube-system   49m         Normal    SuccessfulCreate    replicaset/coredns-5bf8685f84                    Created pod: coredns-5bf8685f84-nsmbr
kube-system   49m         Normal    Scheduled           pod/coredns-5bf8685f84-nsmbr                     Successfully assigned kube-system/coredns-5bf8685f84-nsmbr to zkd01.fyre.ibm.com
kube-system   49m         Normal    SuccessfulDelete    replicaset/coredns-7d764666f9                    Deleted pod: coredns-7d764666f9-hsmgg
kube-system   49m         Normal    Killing             pod/coredns-7d764666f9-hsmgg                     Stopping container coredns
kube-system   49m         Normal    ScalingReplicaSet   deployment/coredns                               Scaled down replica set coredns-7d764666f9 from 2 to 1
kube-system   49m         Normal    Scheduled           pod/coredns-5bf8685f84-v2t8x                     Successfully assigned kube-system/coredns-5bf8685f84-v2t8x to zkd01.fyre.ibm.com
kube-system   49m         Normal    ScalingReplicaSet   deployment/coredns                               Scaled up replica set coredns-5bf8685f84 from 1 to 2
kube-system   49m         Normal    ScalingReplicaSet   deployment/coredns                               Scaled up replica set coredns-5bf8685f84 from 0 to 1
kube-system   49m         Normal    ScalingReplicaSet   deployment/coredns                               Scaled down replica set coredns-7d764666f9 from 1 to 0
kube-system   49m         Normal    Killing             pod/coredns-7d764666f9-gj2fg                     Stopping container coredns
kube-system   49m         Normal    SuccessfulDelete    replicaset/coredns-7d764666f9                    Deleted pod: coredns-7d764666f9-gj2fg
kube-system   19m         Warning   DNSConfigForming    pod/cilium-4s2k4                                 Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   17m         Normal    SuccessfulDelete    daemonset/cilium                                 Deleted pod: cilium-4s2k4
